"lea_state","lea_state_name","ncesleaid","lea_name","schid","school_name","ncessch","jj","title_i_status"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00519","Weller Elementary","020060000519","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00516","Pearl Creek Elementary","020060000516","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00324","Randy Smith Middle School","020060000324","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00281","West Valley High School","020060000281","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00277","Tanana Middle School","020060000277","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00273","North Pole High School","020060000273","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00270","Lathrop High School","020060000270","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00260","Ben Eielson Jr/Sr High School","020060000260","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00259","Barnette Magnet School","020060000259","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00258","Midnight Sun Elementary School","020060000258","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00256","Anderson Elementary","020060000256","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00238","Crawford Elementary","020060000238","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00162","Chinook Montessori Charter School","020060000162","No","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00049","Golden Heart Academy","020060000049","Yes","No"
"AK","ALASKA","0200600","Fairbanks North Star Borough School District","00002","Ladd Elementary","020060000002","No","No"
"AK","ALASKA","0200270","Haines Borough School District","00670","Haines Home School","020027000670","No","No"
"AK","ALASKA","0200330","Hydaburg City School District","00746","Totem Correspondence School","020033000746","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00125","HomeBRIDGE","020021000125","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00127","Auke Bay Elementary","020021000127","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00755","Montessori Borealis Public Alternative School","020021000755","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00737","Thunder Mountain High School","020021000737","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00508","Mendenhall River Community School","020021000508","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00133","Juneau-Douglas High School","020021000133","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00268","Juneau Community Charter School","020021000268","No","No"
"AK","ALASKA","0200210","Juneau Borough School District","00129","Floyd Dryden Middle School","020021000129","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00512","McNeil Canyon Elementary","020039000512","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00543","Homer Middle School","020039000543","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00754","Soldotna Prep School","020039000754","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00537","Kenai Central High School","020039000537","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00175","Susan B English School","020039000175","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00274","Aurora Borealis Charter School","020039000274","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00296","Fireweed Academy","020039000296","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00397","Connections","020039000397","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00437","Seward Middle School","020039000437","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00448","Soldotna Montessori Charter School","020039000448","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00463","Kaleidoscope School of Arts & Science","020039000463","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00542","Soldotna High School","020039000542","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00540","Seward High School","020039000540","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00539","Kalifornsky Beach Elementary","020039000539","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00155","Cooper Landing School","020039000155","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00158","Homer High School","020039000158","No","No"
"AK","ALASKA","0200390","Kenai Peninsula Borough School District","00163","Moose Pass School","020039000163","No","No"
"AK","ALASKA","0200150","Ketchikan Gateway Borough School District","00584","Point Higgins School","020015000584","No","No"
"AK","ALASKA","0200150","Ketchikan Gateway Borough School District","00427","Fast Track","020015000427","No","No"
"AK","ALASKA","0200150","Ketchikan Gateway Borough School District","00047","Ketchikan High School","020015000047","No","No"
"AK","ALASKA","0200480","Kodiak Island Borough School District","00435","AKTEACH","020048000435","No","No"
"AK","ALASKA","0200480","Kodiak Island Borough School District","00405","Karluk School","020048000405","No","No"
"AK","ALASKA","0200480","Kodiak Island Borough School District","00191","Port Lions School","020048000191","No","No"
"AK","ALASKA","0200480","Kodiak Island Borough School District","00190","Peterson Elementary","020048000190","No","No"
"AK","ALASKA","0200480","Kodiak Island Borough School District","00181","Chiniak School","020048000181","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00711","Colony High School","020051000711","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00224","Mat-Su Central School","020051000224","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00227","Palmer High School","020051000227","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00311","Academy Charter School","020051000311","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00312","Midnight Sun Family Learning Center","020051000312","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00452","American Charter Academy","020051000452","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00469","Twindly Bridge Charter School","020051000469","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00565","Pioneer Peak Elementary","020051000565","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00719","Colony Middle School","020051000719","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00731","Mat-Su Career & Tech Ed High School","020051000731","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00734","Mat-Su Day School","020051000734","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00740","Fronteras Charter School","020051000740","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00741","Fred and Sara Machetanz Elementary School","020051000741","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00744","Birchtree Charter School","020051000744","No","No"
"AK","ALASKA","0200510","Matanuska-Susitna Borough School District","00747","Mat-Su Middle College School","020051000747","No","No"
"AK","ALASKA","0200540","Nenana City School District","00321","CyberLynx Correspondence Program","020054000321","No","No"
"AK","ALASKA","0200570","Nome Public Schools","00426","Extensions Correspondence","020057000426","No","No"
"AK","ALASKA","0200570","Nome Public Schools","00323","Anvil City Science Academy","020057000323","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00470","Kiita Learning Community","020061000470","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00287","Harold Kaveolook School","020061000287","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00290","Kali School","020061000290","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00139","Eben Hopson Middle School","020061000139","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00284","Meade River School","020061000284","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00285","Fred Ipalook Elementary","020061000285","No","No"
"AK","ALASKA","0200610","North Slope Borough School District","00286","Barrow High School","020061000286","No","No"
"AK","ALASKA","0200630","Pelican City School District","00304","Pelican School","020063000304","No","No"
"AK","ALASKA","0200670","Pribilof School District","00308","St Paul School","020067000308","No","No"
"AK","ALASKA","0200240","Sitka School District","00142","Sitka REACH","020024000142","No","No"
"AK","ALASKA","0200240","Sitka School District","00143","Sitka High School","020024000143","No","No"
"AK","ALASKA","0200690","Skagway School District","00310","Skagway School","020069000310","No","No"
"AK","ALASKA","0200720","Unalaska City School District","00340","Eagle's View Elementary School","020072000340","No","No"
"AK","ALASKA","0200720","Unalaska City School District","00661","Unalaska Jr/Sr High School","020072000661","No","No"
"AK","ALASKA","0200780","Valdez City School District","00495","Hermon Hutchens Elementary","020078000495","No","No"
"AK","ALASKA","0200780","Valdez City School District","00753","Valdez Home School","020078000753","No","No"
"AK","ALASKA","0200780","Valdez City School District","00367","George H. Gilson Middle School","020078000367","No","No"
"AK","ALASKA","0200780","Valdez City School District","00370","Valdez High School","020078000370","No","No"
"AL","ALABAMA","0100190","Alabaster City","01183","Thompson High School","010019001183","No","No"
"AL","ALABAMA","0100190","Alabaster City","01184","Thompson Middle School","010019001184","No","No"
"AL","ALABAMA","0100190","Alabaster City","02149","Thompson Sixth Grade Center","010019002149","No","No"
"AL","ALABAMA","0100030","Alexander City","00001","Alexander City Middle School","010003000001","No","No"
"AL","ALABAMA","0100030","Alexander City","00003","Benjamin Russell High School","010003000003","No","No"
"AL","ALABAMA","0100090","Anniston City","01246","Anniston City Boot Camp School","010009001246","Yes","No"
"AL","ALABAMA","0100090","Anniston City","01782","Cobb PreK Academy","010009001782","No","No"
"AL","ALABAMA","0100100","Arab City","00028","Arab High School","010010000028","No","No"
"AL","ALABAMA","0100100","Arab City","00027","Arab Junior High School","010010000027","No","No"
"AL","ALABAMA","0100120","Athens City","01472","Athens High School","010012001472","No","No"
"AL","ALABAMA","0100120","Athens City","00522","Athens Intermediate School","010012000522","No","No"
"AL","ALABAMA","0100120","Athens City","02417","Athens Renaissance School","010012002417","No","No"
"AL","ALABAMA","0100120","Athens City","01473","Athens Middle School","010012001473","No","No"
"AL","ALABAMA","0100180","Attalla City","00033","Etowah High School","010018000033","No","No"
"AL","ALABAMA","0100210","Auburn City","00037","Auburn Junior High School","010021000037","No","No"
"AL","ALABAMA","0100210","Auburn City","00041","Drake Middle School","010021000041","No","No"
"AL","ALABAMA","0100210","Auburn City","01879","Richland Elementary School","010021001879","No","No"
"AL","ALABAMA","0100210","Auburn City","02440","East Samford School","010021002440","No","No"
"AL","ALABAMA","0100210","Auburn City","00036","Auburn High School","010021000036","No","No"
"AL","ALABAMA","0100240","Autauga County","02159","Marbury Middle School","010024002159","No","No"
"AL","ALABAMA","0100240","Autauga County","00046","Marbury High School","010024000046","No","No"
"AL","ALABAMA","0100240","Autauga County","00048","Prattville High School","010024000048","No","No"
"AL","ALABAMA","0100240","Autauga County","00049","Prattville Junior High School","010024000049","No","No"
"AL","ALABAMA","0100240","Autauga County","00546","Daniel Pratt Elementary School","010024000546","No","No"
"AL","ALABAMA","0100240","Autauga County","00587","Autauga County Alternative School","010024000587","No","No"
"AL","ALABAMA","0100240","Autauga County","01639","Prattville Kindergarten School","010024001639","No","No"
"AL","ALABAMA","0100270","Baldwin County","00013","Daphne Middle School","010027000013","No","No"
"AL","ALABAMA","0100270","Baldwin County","02073","Spanish Fort High School","010027002073","No","No"
"AL","ALABAMA","0100270","Baldwin County","02072","Daphne East Elementary School","010027002072","No","No"
"AL","ALABAMA","0100270","Baldwin County","01888","Spanish Fort Middle School","010027001888","No","No"
"AL","ALABAMA","0100270","Baldwin County","01810","Baldwin County High School","010027001810","No","No"
"AL","ALABAMA","0100270","Baldwin County","01784","Foley High School","010027001784","No","No"
"AL","ALABAMA","0100270","Baldwin County","01759","Daphne High School","010027001759","No","No"
"AL","ALABAMA","0100270","Baldwin County","01711","Fairhope Elementary School","010027001711","No","No"
"AL","ALABAMA","0100270","Baldwin County","01710","Fairhope Intermediate School","010027001710","No","No"
"AL","ALABAMA","0100270","Baldwin County","00641","Gulf Shores High School","010027000641","No","No"
"AL","ALABAMA","0100270","Baldwin County","00550","Rockwell Elementary School","010027000550","No","No"
"AL","ALABAMA","0100270","Baldwin County","00549","Orange Beach Elementary School","010027000549","No","No"
"AL","ALABAMA","0100270","Baldwin County","00100","Fairhope High School","010027000100","No","No"
"AL","ALABAMA","0100270","Baldwin County","00067","Spanish Fort Elementary School","010027000067","No","No"
"AL","ALABAMA","0100270","Baldwin County","00059","Fairhope Middle School","010027000059","No","No"
"AL","ALABAMA","0100270","Baldwin County","00024","Robertsdale High School","010027000024","No","No"
"AL","ALABAMA","0100270","Baldwin County","00023","Gulf Shores Middle School","010027000023","No","No"
"AL","ALABAMA","0100330","Bessemer City","01264","New Horizon Alternative School","010033001264","No","No"
"AL","ALABAMA","0100390","Birmingham City","01764","Homebound Elementary School","010039001764","No","No"
"AL","ALABAMA","0100390","Birmingham City","01761","Family Court High School","010039001761","Yes","No"
"AL","ALABAMA","0100012","Boaz City","00874","Boaz High School","010001200874","No","No"
"AL","ALABAMA","0100450","Brewton City","00216","TR Miller High School","010045000216","No","No"
"AL","ALABAMA","0100540","Calhoun County","02429","Alexandria Middle School","010054002429","No","No"
"AL","ALABAMA","0100540","Calhoun County","01884","White Plains Middle School","010054001884","No","No"
"AL","ALABAMA","0100540","Calhoun County","01488","Pleasant Valley High School","010054001488","No","No"
"AL","ALABAMA","0100540","Calhoun County","00250","White Plains High School","010054000250","No","No"
"AL","ALABAMA","0100540","Calhoun County","00247","Weaver High School","010054000247","No","No"
"AL","ALABAMA","0100540","Calhoun County","00243","Saks High School","010054000243","No","No"
"AL","ALABAMA","0100540","Calhoun County","00240","Ohatchee High School","010054000240","No","No"
"AL","ALABAMA","0100540","Calhoun County","00232","Alexandria High School","010054000232","No","No"
"AL","ALABAMA","0100600","Chambers County","00271","Valley High School","010060000271","No","No"
"AL","ALABAMA","0100600","Chambers County","00272","W F Burns Middle School","010060000272","No","No"
"AL","ALABAMA","0100630","Cherokee County","00741","Cherokee County Career Technology Center","010063000741","No","No"
"AL","ALABAMA","0100720","Clarke County","01493","Jackson High School","010072001493","No","No"
"AL","ALABAMA","0100750","Clay County","02210","Central High School of Clay County","010075002210","No","No"
"AL","ALABAMA","0100750","Clay County","02205","Central Jr High School of Clay County","010075002205","No","No"
"AL","ALABAMA","0100780","Cleburne County","00318","Cleburne County High School","010078000318","No","No"
"AL","ALABAMA","0100840","Colbert County","00333","Cherokee High School","010084000333","No","No"
"AL","ALABAMA","0100840","Colbert County","00335","Colbert Heights High School","010084000335","No","No"
"AL","ALABAMA","0100840","Colbert County","00334","Colbert County High School","010084000334","No","No"
"AL","ALABAMA","0100870","Conecuh County","02360","Genesis School","010087002360","No","No"
"AL","ALABAMA","0100990","Cullman City","00371","East Elementary School","010099000371","No","No"
"AL","ALABAMA","0100990","Cullman City","00370","Cullman High School","010099000370","No","No"
"AL","ALABAMA","0100990","Cullman City","00369","Cullman Middle School","010099000369","No","No"
"AL","ALABAMA","0101020","Cullman County","00374","Cold Springs High School","010102000374","No","No"
"AL","ALABAMA","0101020","Cullman County","00379","Good Hope High School","010102000379","No","No"
"AL","ALABAMA","0101020","Cullman County","00377","Fairview High School","010102000377","No","No"
"AL","ALABAMA","0101020","Cullman County","00387","West Point High School","010102000387","No","No"
"AL","ALABAMA","0101020","Cullman County","01497","Cullman Child Development Center","010102001497","No","No"
"AL","ALABAMA","0101020","Cullman County","00385","Vinemont High School","010102000385","No","No"
"AL","ALABAMA","0101020","Cullman County","00381","Holly Pond High School","010102000381","No","No"
"AL","ALABAMA","0101020","Cullman County","00380","Hanceville High School","010102000380","No","No"
"AL","ALABAMA","0101050","Dale County","00390","George W Long High School","010105000390","No","No"
"AL","ALABAMA","0101050","Dale County","02426","Opportunity Academy","010105002426","No","No"
"AL","ALABAMA","0101170","Decatur City","00436","Walter Jackson Elementary School","010117000436","No","No"
"AL","ALABAMA","0101170","Decatur City","00081","Cedar Ridge Middle School","010117000081","No","No"
"AL","ALABAMA","0101170","Decatur City","00426","Austin High School","010117000426","No","No"
"AL","ALABAMA","0101170","Decatur City","00429","Decatur High School","010117000429","No","No"
"AL","ALABAMA","0101170","Decatur City","00430","Eastwood Elementary School","010117000430","No","No"
"AL","ALABAMA","0101170","Decatur City","00431","Leon Sheffield Magnet Elementary School","010117000431","No","No"
"AL","ALABAMA","0101170","Decatur City","00433","Oak Park Middle School","010117000433","No","No"
"AL","ALABAMA","0101170","Decatur City","00437","Benjamin Davis Elementary School","010117000437","No","No"
"AL","ALABAMA","0101170","Decatur City","01728","Julian Harris Elementary School","010117001728","No","No"
"AL","ALABAMA","0101170","Decatur City","01786","Chestnut Grove Elementary School","010117001786","No","No"
"AL","ALABAMA","0101170","Decatur City","02175","Decatur High Developmental","010117002175","No","No"
"AL","ALABAMA","0101200","Demopolis City","00148","Demopolis High School","010120000148","No","No"
"AL","ALABAMA","0101230","Dothan City","00443","Carver Magnet School","010123000443","No","No"
"AL","ALABAMA","0101230","Dothan City","00450","Heard Magnet School","010123000450","No","No"
"AL","ALABAMA","0101230","Dothan City","01499","Beverlye Magnet School","010123001499","No","No"
"AL","ALABAMA","0101230","Dothan City","00452","Montana Street Magnet School","010123000452","No","No"
"AL","ALABAMA","0101230","Dothan City","01448","Highlands Elementary School","010123001448","No","No"
"AL","ALABAMA","0101260","Elba City","00461","Elba High School","010126000461","No","No"
"AL","ALABAMA","0101290","Elmore County","00471","Wetumpka High School","010129000471","No","No"
"AL","ALABAMA","0101290","Elmore County","00834","Elmore County Technical Center","010129000834","No","No"
"AL","ALABAMA","0101290","Elmore County","02142","Redland Elementary School","010129002142","No","No"
"AL","ALABAMA","0101290","Elmore County","00468","Stanhope Elmore High School","010129000468","No","No"
"AL","ALABAMA","0101290","Elmore County","00465","Holtville High School","010129000465","No","No"
"AL","ALABAMA","0101290","Elmore County","00463","Elmore County High School","010129000463","No","No"
"AL","ALABAMA","0101320","Enterprise City","00475","Dauphin Junior High School","010132000475","No","No"
"AL","ALABAMA","0101320","Enterprise City","00474","Coppinville School","010132000474","No","No"
"AL","ALABAMA","0101320","Enterprise City","00479","Holly Hill Elementary School","010132000479","No","No"
"AL","ALABAMA","0101320","Enterprise City","00476","Enterprise High School","010132000476","No","No"
"AL","ALABAMA","0101380","Etowah County","01509","Southside Elementary School","010138001509","No","No"
"AL","ALABAMA","0101380","Etowah County","01662","Hokes Bluff High School","010138001662","No","No"
"AL","ALABAMA","0101380","Etowah County","00498","Glencoe High School","010138000498","No","No"
"AL","ALABAMA","0101380","Etowah County","01508","Rainbow Middle School","010138001508","No","No"
"AL","ALABAMA","0101380","Etowah County","00506","Southside High School","010138000506","No","No"
"AL","ALABAMA","0101530","Florence City","00536","Florence Middle School","010153000536","No","No"
"AL","ALABAMA","0101530","Florence City","00528","Florence High School","010153000528","No","No"
"AL","ALABAMA","0101530","Florence City","00531","Florence Freshman Center","010153000531","No","No"
"AL","ALABAMA","0101620","Gadsden City","01646","Gadsden City Alternative School","010162001646","No","No"
"AL","ALABAMA","0101620","Gadsden City","01824","Gadsden City High School","010162001824","No","No"
"AL","ALABAMA","0101620","Gadsden City","00553","Gadsden Middle School","010162000553","No","No"
"AL","ALABAMA","0101620","Gadsden City","00555","Eura Brown Elementary School","010162000555","No","No"
"AL","ALABAMA","0101620","Gadsden City","00563","Mitchell Elementary School","010162000563","No","No"
"AL","ALABAMA","0101640","Geneva City","00567","Geneva High School","010164000567","No","No"
"AL","ALABAMA","0101660","Geneva County","01519","Slocomb High School","010166001519","No","No"
"AL","ALABAMA","0101660","Geneva County","00571","Samson High School","010166000571","No","No"
"AL","ALABAMA","0101660","Geneva County","00570","Geneva County High School","010166000570","No","No"
"AL","ALABAMA","0101690","Guntersville City","00582","Guntersville High School","010169000582","No","No"
"AL","ALABAMA","0101720","Haleyville City","00594","Haleyville High School","010172000594","No","No"
"AL","ALABAMA","0101730","Hartselle City","00598","Hartselle Junior High School","010173000598","No","No"
"AL","ALABAMA","0101730","Hartselle City","00599","Hartselle High School","010173000599","No","No"
"AL","ALABAMA","0101730","Hartselle City","00328","Barkley Bridge Elementary School","010173000328","No","No"
"AL","ALABAMA","0101730","Hartselle City","02356","Hartselle Intermediate School","010173002356","No","No"
"AL","ALABAMA","0101740","Henry County","00604","Headland High School","010174000604","No","No"
"AL","ALABAMA","0101760","Homewood City","00610","Shades Cahaba Elementary School","010176000610","No","No"
"AL","ALABAMA","0101760","Homewood City","00608","Homewood High School","010176000608","No","No"
"AL","ALABAMA","0101760","Homewood City","00606","Edgewood Elementary School","010176000606","No","No"
"AL","ALABAMA","0100007","Hoover City","00337","Berry Middle School","010000700337","No","No"
"AL","ALABAMA","0100007","Hoover City","00251","Hoover High School","010000700251","No","No"
"AL","ALABAMA","0100007","Hoover City","01422","Robert F Bumpus Middle School","010000701422","No","No"
"AL","ALABAMA","0100007","Hoover City","00248","Greystone Elementary School","010000700248","No","No"
"AL","ALABAMA","0100007","Hoover City","01741","Ira F Simmons Middle School","010000701741","No","No"
"AL","ALABAMA","0100007","Hoover City","01738","Bluff Park Elementary School","010000701738","No","No"
"AL","ALABAMA","0100007","Hoover City","01483","Deer Valley Elementary School","010000701483","No","No"
"AL","ALABAMA","0100007","Hoover City","01456","Spain Park High School","010000701456","No","No"
"AL","ALABAMA","0100007","Hoover City","02186","Brocks Gap Intermediate School","010000702186","No","No"
"AL","ALABAMA","0100007","Hoover City","02091","Riverchase Elementary School","010000702091","No","No"
"AL","ALABAMA","0100007","Hoover City","01743","Shades Mountain Elementary School","010000701743","No","No"
"AL","ALABAMA","0100007","Hoover City","00342","South Shades Crest Elementary School","010000700342","No","No"
"AL","ALABAMA","0101770","Houston County","00611","Ashford High School","010177000611","No","No"
"AL","ALABAMA","0101770","Houston County","02077","Rehobeth Middle School","010177002077","No","No"
"AL","ALABAMA","0101770","Houston County","00617","Wicksburg High School","010177000617","No","No"
"AL","ALABAMA","0101770","Houston County","00615","Rehobeth High School","010177000615","No","No"
"AL","ALABAMA","0101800","Huntsville City","00618","Blossomwood Elementary School","010180000618","No","No"
"AL","ALABAMA","0101800","Huntsville City","02173","GoldsmithSchiffman Elementary","010180002173","No","No"
"AL","ALABAMA","0101800","Huntsville City","02172","Providence Elementary","010180002172","No","No"
"AL","ALABAMA","0101800","Huntsville City","02146","Williams Junior High School","010180002146","No","No"
"AL","ALABAMA","0101800","Huntsville City","02093","Hampton Cove Middle School","010180002093","No","No"
"AL","ALABAMA","0101800","Huntsville City","01796","JE Williams P6 School","010180001796","No","No"
"AL","ALABAMA","0101800","Huntsville City","01774","Challenger Middle School","010180001774","No","No"
"AL","ALABAMA","0101800","Huntsville City","01773","Challenger Elementary School","010180001773","No","No"
"AL","ALABAMA","0101800","Huntsville City","01651","Columbia High School","010180001651","No","No"
"AL","ALABAMA","0101800","Huntsville City","01531","Whitesburg P8","010180001531","No","No"
"AL","ALABAMA","0101800","Huntsville City","01530","Mountain Gap P8","010180001530","No","No"
"AL","ALABAMA","0101800","Huntsville City","01374","New Century Technology High School","010180001374","No","No"
"AL","ALABAMA","0101800","Huntsville City","00651","Weatherly Heights Elementary School","010180000651","No","No"
"AL","ALABAMA","0101800","Huntsville City","00639","Monte Sano Elementary School","010180000639","No","No"
"AL","ALABAMA","0101800","Huntsville City","00634","Jones Valley Elementary School","010180000634","No","No"
"AL","ALABAMA","0101800","Huntsville City","00632","Huntsville Junior High School","010180000632","No","No"
"AL","ALABAMA","0101800","Huntsville City","00631","Huntsville High School","010180000631","No","No"
"AL","ALABAMA","0101800","Huntsville City","00629","Virgil Grissom High School","010180000629","No","No"
"AL","ALABAMA","0101800","Huntsville City","00628","Farley Elementary School","010180000628","No","No"
